theta_rad,theta_deg,P_x,P_y,IC_x,IC_y,IC_distance,V_P_mag,A_P_mag,Torque_ratio
0.0,0.0,3.9999999999999996,-1.5000000000000007,1.0149053349425061,-3.411284913162434,3.5445451300042774,0.007758856753790833,0.00018314347813131173,136.80388808559113
0.008738783459220564,0.5006954102920723,3.993465756238612,-1.5041837204247681,1.0290968569964165,-3.325169120350592,3.4790042824833374,0.0076452117211208235,0.0002720810952334158,69.00274733363473
0.01747756691844113,1.0013908205841446,3.9869714285962097,-1.5080033353184414,1.0553445651192843,-3.157544377836366,3.363840322846891,0.0074287630125845164,0.00035582315788757146,34.87967734410799
0.026216350377661693,1.5020862308762168,3.980517245536615,-1.5114694702275568,1.07893792052208,-2.9972198938746675,3.259849214414583,0.0072285081128055095,0.0003455755148780304,23.541197452116688
0.03495513383688226,2.0027816411682893,3.9741032937155705,-1.5145924492832517,1.1000469958803372,-2.8435094045584375,3.166420672801426,0.007044274977754757,0.0003356095542864513,17.88000668149166
0.04369391729610282,2.5034770514603615,3.967729530349304,-1.5173823020480217,1.118820553051215,-2.6958030741629577,3.0830111704438576,0.006875853453870911,0.00032591845025059643,14.48671038174225
0.052432700755323386,3.0041724617524337,3.9613957947489036,-1.5198487705147399,1.1353888788097521,-2.5535567545588083,3.0091306527321753,0.006722990109173529,0.00031649538281006937,12.22651372980569
0.06117148421454395,3.504867872044506,3.955101819068596,-1.5220013162115922,1.1498661513633348,-2.4162829651143722,2.9443313025082722,0.00658538388373286,0.0003073335594648776,10.613484753651765
0.06991026767376451,4.0055632823365785,3.948847238314075,-1.5238491273721257,1.1623524226680817,-2.2835432763366277,2.8881981506802643,0.006462682874264139,0.00029842623402400093,9.40479167148572
0.07864905113298508,4.50625869262865,3.942631599655112,-1.5254011261346303,1.1729352840902978,-2.1549418450324227,2.840341387439836,0.006354482529891077,0.0002897667230051669,8.465581102872418
0.08738783459220564,5.006954102920723,3.9364543710846718,-1.5266659757395658,1.1816912693753308,-2.030119898832341,2.8003902583777096,0.006260325468185348,0.00028134841981448353,7.714965073104814
0.09612661805142621,5.507649513212795,3.930314949464764,-1.5276520876978386,1.1886870382573411,-1.90875100702701,2.767988437444318,0.0061797030264391485,0.00027316480692148943,7.101481451707091
0.10486540151064677,6.008344923504867,3.9242126679972835,-1.5283676289063872,1.1939803756642071,-1.790537005393334,2.742790759803941,0.006112058551379556,0.000265209466234222,6.590828676497369
